規模,和暦年,西暦年,年平均・月・対前月比・対前年同月比,調査産業計,調査産業計／対前月比（％）,調査産業計／対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成17,2005,年平均,100,－,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,104.8,－,4.8,87,125.7,102.9,106.9,94.6,103.7,117.6,121.3,111.7,90.2,103.6,95.1,96.9,102.3
30人以上,平成18,2006,4月,110.5,1.5,5.9,99.8,138.2,106.6,107.8,97.3,105.7,133,126.5,128.1,97.4,107.1,109.9,88.9,107.3
30人以上,平成18,2006,5月,104.3,-5.6,8.1,99.8,124.5,99,99.2,89,101.1,126.4,124.9,113.3,90.4,107.1,101.1,82.6,101.4
30人以上,平成18,2006,6月,104.3,0,5.6,72.6,126.2,100.4,102.6,94.2,99.7,118.7,123.2,109.3,83.5,97.6,96.7,79.5,104.3
30人以上,平成18,2006,7月,103.5,-0.8,5.5,86.3,119.7,103.8,102.6,93.4,104.3,116.1,120.9,114.3,85.8,104,85.7,87.6,102.8
30人以上,平成18,2006,8月,98,-5.3,3.3,86.3,121.3,98.4,99.8,89,97,111,119.3,98.5,83.5,100.8,61.6,68.2,94.5
30人以上,平成18,2006,9月,101.2,3.3,0,81.7,121.3,102.4,109.8,90.7,99.7,105.8,120.1,104.4,84.7,100.8,88,78.9,101.4
30人以上,平成18,2006,10月,107.4,6.1,7,74.9,127,110.7,117.7,95.9,110.2,118.7,127.2,114.3,87,102.4,92.3,90.7,102.8
30人以上,平成18,2006,11月,111.2,3.5,5.9,81.7,130.9,110.1,111.7,98.1,130.9,123.9,126.5,115.4,95,105.6,96.7,91.4,105.1
30人以上,平成18,2006,12月,108.2,-2.7,4.5,86.3,132.5,102.4,98.6,94.2,117.2,117.5,128.8,105.4,105.5,110.4,81.3,174.6,105.1
30人以上,平成19,2007,1月,103.1,-4.7,4.5,90.5,137.3,93.5,108.9,91.8,109.1,116.3,125.2,114.8,101.1,105.2,81,105.4,97.3
30人以上,平成19,2007,2月,107,3.8,5.7,95.6,155.5,105.1,123.4,91.8,107.3,118.8,124.3,123.1,89.5,105.2,90,79,102.7
30人以上,平成19,2007,3月,115.5,7.9,6.1,94.9,167.3,110.1,133.9,103.2,115.1,125,149.5,129.6,86.3,115.5,90,89.8,108.9
30人以上,平成19,2007,4月,117.8,2,6.6,104.4,153.6,110.1,121,106.8,117.8,131.3,157,131.5,97.9,165.5,110,83.9,103.4
30人以上,平成19,2007,4月（対前月比（％））,－,－,－,10,-8.2,0,-9.6,3.5,2.3,5,5,1.5,13.4,43.3,22.2,-6.6,-5.1
30人以上,平成19,2007,4月（対前年同月比（％））,－,－,－,4.6,11.1,3.3,12.2,9.8,11.4,-1.3,24.1,2.7,0.5,54.5,0.1,-5.6,-3.6
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,,,,,,,,,,
第１４－２表　労働時間指数（所定外労働時間）　（事業所規模３０人以上）,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,
