規模,和暦年,西暦年,年平均・月・対前月比・対前年同月比,調査産業計,調査産業計／対前月比（％）,調査産業計／対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成17,2005,年平均,100,－,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,100.6,－,0.6,101.9,97.3,100.9,99.4,99.1,102.8,103.6,100.6,104.7,91.8,100.8,101,100.3,98.5
30人以上,平成18,2006,3月,84,2.7,1,76.1,82.6,83.1,77.3,80,89.8,82.7,78.9,87.6,86.9,83,91.1,86.4,88
30人以上,平成18,2006,4月,82.7,-1.5,1,68.3,83,80.8,75.2,80.7,98.7,83.9,76.1,85,84.8,79.6,82.1,80,83.8
30人以上,平成18,2006,5月,80,-3.3,-2,67.4,82.4,76,72.2,79.2,82.7,82.1,82,78.9,82,78.4,75.7,78.9,80.2
30人以上,平成18,2006,6月,161.3,101.6,0.9,214.7,141.4,164.3,227.7,174.3,165.3,139,191.8,170,96.5,160.5,185.5,184.7,151.3
30人以上,平成18,2006,7月,119.2,-26.1,4.7,115.4,121.3,131.2,73.3,101.3,103.2,168,87.5,131.1,121.1,112.5,92.3,82.9,107.2
30人以上,平成18,2006,8月,79.1,-33.6,0.1,67.3,79.8,79.1,72,77.2,85.6,78.6,77.3,79.7,80,80.3,74.3,77.2,81.1
30人以上,平成18,2006,9月,78.6,-0.6,-1,67.9,80.5,77.1,73,79.2,82.8,78.4,74.4,81.4,82.5,78.2,77.1,81,80.2
30人以上,平成18,2006,10月,79.6,1.3,-0.6,67.7,82.7,78.4,76,77.5,84.5,78.5,73.8,79.6,84.6,81.3,79.9,93.4,82.5
30人以上,平成18,2006,11月,86.1,8.2,-1.9,69.4,86.5,85.2,73.3,83.7,94.5,92.8,79.4,88.4,94.1,83.5,74.8,133.5,83.6
30人以上,平成18,2006,12月,194.4,125.8,2.1,273.8,167.6,204.8,227.9,199.8,176.5,199.2,185.3,213.3,124.9,215.6,227.1,148.4,183.4
30人以上,平成19,2007,1月,79.9,-58.9,-1.2,68.5,80,76.2,74.6,79.3,86.9,79.6,72.9,81.8,84.6,85.9,75.2,77.7,84.4
30人以上,平成19,2007,2月,80.8,1.1,-1.2,67.2,80.7,75.9,72.7,77.3,85.3,80.1,86.4,79.7,86.1,86,77.9,74.6,81.9
30人以上,平成19,2007,3月,86.6,7.2,3.1,70.4,85.3,77,76.3,89.6,88.9,81.9,91.8,86,113.3,93.9,91.7,73.8,87.1
30人以上,平成19,2007,3月（対前月比（％））,－,－,－,4.8,5.7,1.4,5,15.9,4.2,2.2,6.3,7.9,31.6,9.2,17.7,-1.1,6.3
30人以上,平成19,2007,3月（対前年同月比（％））,－,－,－,-7.5,3.3,-7.3,-1.3,12,-1,-1,16.3,-1.8,30.4,13.1,0.7,-14.6,-1
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,,,,,,,,,,
第１１－２表　実質賃金指数（現金給与総額）　（事業所規模３０人以上）,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,
実質賃金指数 ＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数×１００,,,,,,,,,,,,,,,,,,,,
