規模,和暦年,西暦年,年平均・月・対前月比・対前年同月比,調査産業計,調査産業計／対前月比（％）,調査産業計／対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成17,2005,年平均,100,－,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,104.6,－,4.6,105.5,114,102.4,106.2,96,110.2,113.1,119.3,102.8,98,96.1,94,94.6,100.4
５人以上,平成18,2006,2月,102.6,4.5,3.6,115.6,109.4,100.1,110.8,99.5,93.9,107.2,112.7,108.6,91.6,95.5,121.3,87,103.4
５人以上,平成18,2006,3月,108.9,6.1,4.2,123.9,127.3,106.2,125.1,100.1,106.6,117.4,120.3,111.7,97.5,99.1,108.4,101.3,108.2
５人以上,平成18,2006,4月,111.5,2.4,6.8,121.1,126.5,104.7,107.4,99.1,113,127.5,123.6,119,110.5,99.1,103.3,89.9,108.2
５人以上,平成18,2006,5月,102.6,-8,6.5,121.1,112.9,96.3,97.9,89.7,105.7,118.8,120.3,104.5,103.3,97.3,98,82,99.4
５人以上,平成18,2006,6月,104.4,1.8,5.5,88.1,114.6,98.6,101.9,94.8,106.2,115.9,118.6,104.5,96.1,91.9,95.5,82,102.6
５人以上,平成18,2006,7月,104.4,0,5.5,104.6,111.2,103.8,101.3,94.3,113.4,113,119.4,99.3,97.5,95.5,90.3,82.8,100.2
５人以上,平成18,2006,8月,98.2,-5.9,3.8,104.6,108.7,98.6,97.9,91,104.8,105.8,117.7,91,93.1,93.7,61.9,66.3,92.2
５人以上,平成18,2006,9月,100.8,2.6,0,99.1,106.2,102.4,108.7,92.4,109.8,102.9,118.6,97.2,93.1,93.7,85.1,77,97
５人以上,平成18,2006,10月,106.2,5.4,6.3,90.9,110.4,109.9,116.2,96.7,117.5,114.5,124.5,101.3,93.1,95.5,92.9,87.8,98.6
５人以上,平成18,2006,11月,109.8,3.4,5.1,99.1,117.9,111.5,110.8,100.9,132,114.5,125.3,103.5,96.1,99.1,98,87,100.2
５人以上,平成18,2006,12月,108,-1.6,4.3,104.6,117.9,106.2,97.9,96.3,123.9,113,127,98.2,101.8,100.9,82.6,165.5,100.2
５人以上,平成19,2007,1月,100,-7.4,1.8,110,119.3,93.5,109.1,92.5,111.4,107,125.7,105.9,87.5,96.2,79.7,98.2,91.9
５人以上,平成19,2007,2月,104.4,4.4,1.8,116.2,137.6,107.3,121.5,93,108.6,112.7,122.9,112.9,77.8,96.2,87.3,76.7,98.5
５人以上,平成19,2007,2月（対前月比（％））,－,－,－,5.6,15.3,14.8,11.4,0.5,-2.5,5.3,-2.2,6.6,-11.1,0,9.5,-21.9,7.2
５人以上,平成19,2007,2月（対前年同月比（％））,－,－,－,0.5,25.8,7.2,9.7,-6.5,15.7,5.1,9.1,4,-15.1,0.7,-28,-11.8,-4.7
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,,,,,,,,,,
第１４－１表　労働時間指数（所定外労働時間）　（事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,
