種別,和暦（年）,西暦（年）,月,専修学校（一般課程）等入学者数（人）,専修学校（一般課程）等入学者数／専修学校（一般課程）（人）,専修学校（一般課程）等入学者数／各種学校（人）,専修学校（一般課程）等入学者数／男（人）,専修学校（一般課程）等入学者数／男／専修学校（一般課程）（人）,専修学校（一般課程）等入学者数／男／各種学校（人）,専修学校（一般課程）等入学者数／女（人）,専修学校（一般課程）等入学者数／女／専修学校（一般課程）（人）,専修学校（一般課程）等入学者数／女／各種学校（人）
総数,平成30,2018,3月,143,76,67,55,31,24,88,45,43
総数,平成31,2019,3月,156,75,81,66,30,36,90,45,45
総数,令和2,2020,3月,105,50,55,51,26,25,54,24,30
総数,令和3,2021,3月,136,62,74,68,32,36,68,30,38
総数,令和4,2022,3月,155,62,93,68,25,43,87,37,50
総数,令和5,2023,3月,152,95,57,75,43,32,77,52,25
国立,令和5,2023,3月,－,－,－,－,－,－,－,－,－
公立,令和5,2023,3月,150,95,55,74,43,31,76,52,24
私立,令和5,2023,3月,2,－,2,1,－,1,1,－,1
,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,
１３－４　卒業後の状況調査（中学校）　設置者別専修学校（一般課程）等入学者数,,,,,,,,,,,,
