"年月日","0～ 4歳[人]","5～ 9歳[人]","10～14歳[人]","15～19歳[人]","20～24歳[人]","25～29歳[人]","30～34歳[人]","35～39歳[人]","40～44歳[人]","45～49歳[人]","50～54歳[人]","55～59歳[人]","60～64歳[人]","65～69歳[人]","70～74歳[人]","75～79歳[人]","80～84歳[人]","85～89歳[人]","90～94歳[人]","95～99歳[人]","100～歳[人]","合計[人]"
"20120101","10271","7470","6287","5732","8445","15520","20350","22869","21550","16763","12565","10428","13321","9909","8565","7617","5397","3448","1392","422","76","208397"
"20130101","11633","8628","7010","6329","9193","17607","23151","25698","24454","19793","14794","11299","12867","10972","8982","7768","5763","3493","1570","451","83","231538"
"20140101","11914","9078","7130","6525","9143","17209","23034","25450","25189","20949","15607","11777","11906","11586","9397","7600","5947","3637","1685","484","90","235337"
"20150101","12683","9425","7411","6579","9437","17109","23071","25475","25710","21888","16744","12231","11073","12286","9674","7594","6041","3763","1782","513","96","240585"
"20160101","13224","10043","7549","6748","9570","16825","22745","25119","25904","22339","17847","12923","10700","12825","9389","7586","6228","3846","1925","538","104","243977"
"20170101","13971","10564","7944","6866","9785","17069","22647","25004","25992","23885","18275","13494","10591","12917","9310","7825","6410","3993","2001","591","108","249242"
"20180101","14318","11122","8432","7064","9991","17178","22293","24999","25830","24244","19570","14365","10611","12006","10034","8081","6484","4221","2051","624","121","253639"
"20190101","14615","11539","8957","7175","10268","17125","21891","24657","25692","24858","20602","15146","11117","11075","10635","8429","6403","4363","2094","670","115","257426"
"20200101","14343","12101","9296","7355","10191","17490","21368","24492","25402","25310","21312","16117","11551","10253","11324","8602","6423","4450","2165","720","114","260379"
"20210101","13714","12502","9720","7423","10115","16861","20425","23562","24628","25158","21598","17093","12051","9854","11728","8347","6437","4663","2265","772","120","259036"
"2012年～2021年の増減","3443","5032","3433","1691","1670","1341","75","693","3078","8395","9033","6665","-1270","-55","3163","730","1040","1215","873","350","44","50639"
"2012年～2021年の増減比[％]","33.5","67.4","54.6","29.5","19.8","8.6","0.4","3.0","14.3","50.1","71.9","63.9","-9.5","-0.6","36.9","9.6","19.3","35.2","62.7","82.9","57.9","24.3"

"令和3年度港区行政資料集　年齢（５歳階級）別人口の最近10年間の推移","Ver202101",,,,,,,,,,,,,,,,,,,,,
